pcode_st,name_st,pcode_dt,name_dt,pcode_ts,name_ts,pop_t,pop_u,pop_r
MMR001,Kachin,MMR001D001,Myitkyina,MMR001001,Myitkyina,317604,246506,71098
MMR001,Kachin,MMR001D001,Myitkyina,MMR001002,Waingmaw,125544,26656,98888
MMR001,Kachin,MMR001D001,Myitkyina,MMR001003,Injangyang,1732,445,1287
MMR001,Kachin,MMR001D001,Myitkyina,MMR001004,Tanai,60019,37415,22604
MMR001,Kachin,MMR001D001,Myitkyina,MMR001005,Chipwi,20039,2790,17249
MMR001,Kachin,MMR001D001,Myitkyina,MMR001006,Tsawlaw,6518,368,6150
MMR001,Kachin,MMR001D002,Mohnyin,MMR001007,Mohnyin,209292,56642,152650
MMR001,Kachin,MMR001D002,Mohnyin,MMR001008,Mogaung,132608,25012,107596
MMR001,Kachin,MMR001D002,Mohnyin,MMR001009,Hpakant,331708,65857,265851
MMR001,Kachin,MMR001D003,Bhamo,MMR001010,Bhamo,135877,58696,77181
MMR001,Kachin,MMR001D003,Bhamo,MMR001011,Shwegu,94784,20722,74062
MMR001,Kachin,MMR001D003,Bhamo,MMR001012,Momauk,62914,20997,41917
MMR001,Kachin,MMR001D003,Bhamo,MMR001013,Mansi,52945,8146,44799
MMR001,Kachin,MMR001D004,Puta-O,MMR001014,Puta-O,61075,15978,45097
MMR001,Kachin,MMR001D004,Puta-O,MMR001015,Sumprabum,2546,1137,1409
MMR001,Kachin,MMR001D004,Puta-O,MMR001016,Machanbaw,8858,2315,6543
MMR001,Kachin,MMR001D004,Puta-O,MMR001018,Khaunglanhpu,11655,450,11205
MMR001,Kachin,MMR001D004,Puta-O,MMR001017,Nawngmun,7123,2236,4887
MMR002,Kayah,MMR002D001,Loikaw,MMR002001,Loikaw,128401,51349,77052
MMR002,Kayah,MMR002D001,Loikaw,MMR002002,Demoso,79201,5621,73580
MMR002,Kayah,MMR002D001,Loikaw,MMR002003,Hpruso,29374,4240,25134
MMR002,Kayah,MMR002D001,Loikaw,MMR002004,Shadaw,6742,1573,5169
MMR002,Kayah,MMR002D002,Bawlake,MMR002005,Bawlakhe,10996,5474,5522
MMR002,Kayah,MMR002D002,Bawlake,MMR002006,Hpasawng,25594,3148,22446
MMR002,Kayah,MMR002D002,Bawlake,MMR002007,Mese,6319,1013,5306
MMR003,Kayin,MMR003D001,Hpa-An,MMR003001,Hpa-An,421575,75141,346434
MMR003,Kayin,MMR003D001,Hpa-An,MMR003002,Hlaingbwe,265883,16116,249767
MMR003,Kayin,MMR003D001,Hpa-An,MMR003004,Thandaunggyi,96052,21148,74904
MMR003,Kayin,MMR003D004,Hpapun,MMR003003,Hpapun,35085,17320,17765
MMR003,Kayin,MMR003D002,Myawaddy,MMR003005,Myawaddy,210540,116580,93960
MMR003,Kayin,MMR003D003,Kawkareik,MMR003006,Kawkareik,220342,42950,177392
MMR003,Kayin,MMR003D003,Kawkareik,MMR003007,Kyainseikgyi,254849,39911,214938
MMR004,Chin,MMR004D003,Hakha,MMR004002,Hakha,48352,24926,23426
MMR004,Chin,MMR004D003,Hakha,MMR004003,Thantlang,50374,7587,42787
MMR004,Chin,MMR004D001,Falam,MMR004001,Falam,48077,12696,35381
MMR004,Chin,MMR004D001,Falam,MMR004004,Tedim,87623,13452,74171
MMR004,Chin,MMR004D001,Falam,MMR004005,Tonzang,31878,5227,26651
MMR004,Chin,MMR004D002,Mindat,MMR004006,Mindat,42600,11505,31095
MMR004,Chin,MMR004D002,Mindat,MMR004007,Matupi,51351,10851,40500
MMR004,Chin,MMR004D002,Mindat,MMR004008,Kanpetlet,21493,4159,17334
MMR004,Chin,MMR004D002,Mindat,MMR004009,Paletwa,97053,9406,87647
MMR005,Sagaing,MMR005D001,Sagaing,MMR005001,Sagaing,307194,81432,225762
MMR005,Sagaing,MMR005D001,Sagaing,MMR005002,Myinmu,106986,16558,90428
MMR005,Sagaing,MMR005D001,Sagaing,MMR005003,Myaung,106411,7795,98616
MMR005,Sagaing,MMR005D002,Shwebo,MMR005004,Shwebo,266807,79739,187068
MMR005,Sagaing,MMR005D002,Shwebo,MMR005005,Khin-U,146457,11334,135123
MMR005,Sagaing,MMR005D002,Shwebo,MMR005006,Wetlet,196216,10814,185402
MMR005,Sagaing,MMR005D002,Shwebo,MMR005007,Kanbalu,295561,25022,270539
MMR005,Sagaing,MMR005D002,Shwebo,MMR005008,Kyunhla,104087,12148,91939
MMR005,Sagaing,MMR005D002,Shwebo,MMR005009,Ye-U,118290,20458,97832
MMR005,Sagaing,MMR005D002,Shwebo,MMR005010,Tabayin,140815,4308,136507
MMR005,Sagaing,MMR005D002,Shwebo,MMR005011,Taze,165110,14361,150749
MMR005,Sagaing,MMR005D003,Monywa,MMR005012,Monywa,372095,207489,164606
MMR005,Sagaing,MMR005D003,Monywa,MMR005013,Budalin,123539,5210,118329
MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,155769,9516,146253
MMR005,Sagaing,MMR005D003,Monywa,MMR005015,Chaung-U,105955,21929,84026
MMR005,Sagaing,MMR005D004,Katha,MMR005020,Katha,167734,26732,141002
