Type,Power Station,Location,Operation Start Date,Firm Capacity,Annual Production,Installed Units,Installed Capacity per unit,Installed Capacity
Hydropower ,Baluchaung BHP (1) ,Kayah ,1992,140,200,2,14,28
Hydropower ,Baluchaung BHP (2) ,Kayah ,1974,20,1190,6,28,168
Hydropower ,Kinda ,Mandalay ,1985,20,165,2,28,56
Hydropower ,Sedawgyi ,Mandalay ,1989,12,134,2,12.5,25
Hydropower ,Zawgyi (1) ,Shan ,1995,6,35,3,6,18
Hydropower ,Zawgyi (2) ,Shan ,1998,5,30,2,6,12
Hydropower ,Zaungtu ,Bago ,2000,15,76,2,10,20
Hydropower ,Thaphanseik ,Sagaing ,2002,20,117,3,10,30
Hydropower ,Mone ,Magwe ,2004,190,330,3,25,75
Hydropower ,Paunglaung ,Mandalay ,2005,30,911,4,70,280
Hydropower ,Ye‰Ûªnew ,Bago ,2007,15,123,2,12.5,25
Hydropower ,Khabaung ,Bago ,2008,15,120,2,15,30
Hydropower ,KengTawn ,Shan ,2008,175,378,3,18,54
Hydropower ,Shweli (1) ,Shan ,2008,38,4022,6,100,600
Hydropower ,Yeywa ,Mandalay ,2010,630,3550,4,197.5,790
Hydropower ,Tapein (1)b ,Kachin ,2011,30,1065,4,60,240
Hydropower ,Shwegyin ,Bago ,2011,35,262,4,18.8,75.2
Hydropower ,Kun ,Bago ,2011,38,190,3,20,60
Hydropower ,Kyee ON Kyee Wa ,Magwe ,2012,70,370,2,37,74
Coal-fired ,Tigyit ,Shan ,2005,26.7,600,2,60,120
Gas turbine ,Kyunchaung ,Magwe ,1974,44.5,300,3,18.1,54.3
Gas turbine ,Mann,Magwe ,1978,0,0,2,18.45,36.9
Gas turbine ,Myanaung ,Ayarwaddy ,1975,14.5,200,1,16.25,34.7
Gas turbine ,Myanaung ,Ayarwaddy ,1984,,,1,18.45,
Gas turbine ,Shwedaung ,Bago ,1984,36.5,300,3,18.45,55.35
Gas turbine ,Ywama ,Yangon ,1980,31,238,2,18.45,70.3
Gas turbine ,Ywama ,Yangon ,2004,,,1,24,
Gas turbine ,Ywama ,Yangon ,2004,,,1,9.4,
Gas turbine ,Thakayta ,Yangon ,1990,68.5,568,3,19,92
Gas turbine ,Thakayta ,Yangon ,1997,,,1,35,
Gas turbine ,Ahlone ,Yangon ,1995,91,990,3,33.3,154.2
Gas turbine ,Ahlone ,Yangon ,1999,,,1,54.3,
Gas turbine ,Hlawga ,Yangon ,1995,97,990,3,33.3,154.2
Gas turbine ,Hlawga ,Yangon ,1999,,,1,54.3,
Gas turbine ,Thaton ,Mon ,1985,40,300,1,18.45,50.95
Gas turbine ,Thaton ,Mon ,2001,,,2,16.25,
Gas turbine ,Mawlamyaing ,Mon ,1980,3.6,60,2,6,12
